X,Y,code_loc,name,region,departemen,commune,nbre_hbts,couverture,exist_ZB,icon_url
-15.9791821496136,12.9020993769056,"118",ALLOUTE MANDINGUE,,,,,,,./0.png
-14.841666030759,13.9543196982422,"119",ALOUHAH,,,,,,,./0.png
-15.6208396694308,14.2737274282396,"120",ALOUKY SY,,,,,,,./0.png
-15.6625076349422,14.2820597457609,"121",ALOUKY TERRES NEUVES,,,,,,,./0.png
-14.6547656792632,16.5848077875034,"122",ALVAR,,,,,,,./0.png
-16.1916860653496,16.0444170857524,"123",ALVATHIAM,,,,,,,./0.png
-15.6460113248814,14.0680509446564,"124",ALY NGANE,,,,,,,./0.png
-13.3724405752921,15.9735992116423,"125",ALY OURY,,,,,,,./0.png
-15.2694416407281,15.7333336567905,"126",AMALY MAURE (FORAGE),,,,,,,./0.png
-15.2766501667438,15.7352231487603,"127",AMALY OUOLOFF,,,,,,,./0.png
-15.2662615779883,15.7355524959124,"128",AMALY PEULH I,,,,,,,./0.png
-15.2512575728703,15.747630392282,"129",AMALY PEULH II,,,,,,,./0.png
-13.8631584792842,13.0302705828235,"130",AMANATOULAYE,,,,,,,./0.png
-14.7420749641483,12.8276744394552,"131",AMANATOULAYE,,,,,,,./0.png
-16.1046221715966,15.9036491037343,"132",AMBIDIERE,,,,,,,./0.png
-14.7951586516691,14.2591947885534,"133",AMDALLAYE NDANGA,,,,,,,./0.png
-15.8750148535452,13.755166779956,"134",AMDALLAYE THISSE,,,,,,,./0.png
-12.4648237129462,12.8036748261119,"135",Amerique,,,,,,,./0.png
-16.3557843682418,16.183325554357,"136",AMOURA,,,,,,,./0.png
-15.8056060287714,12.9272495953555,"137",AMPOUTOUNE,,,,,,,./0.png
-14.1430909192665,12.9502514552506,"138",ANAMBE,,,,,,,./0.png
-14.0311902161978,12.8026346863904,"139",ANAMBECOUTA,,,,,,,./0.png
-16.8748647831753,15.1626932734062,"140",ANDAL  II ( TOUBA NDIAYE,,,,,,,./0.png
-16.804344255206,15.1921515535336,"141",ANDAL I,,,,,,,./0.png
-15.7482750421208,12.892002373933,"142",ANDIOUME,,,,,,,./0.png
-16.5275559831069,15.297832884935,"143",ANDOULAYE,,,,,,,./0.png
-15.9639005522127,14.8597904249572,"144",ANDRY,,,,,,,./0.png
-13.1799739272314,15.2907372995446,"145",ANDY YARI,,,,,,,./0.png
-12.4330514771824,12.5495013722294,"146",ANGOUSSAKA,,,,,,,./0.png
-15.7328180692994,12.5646540386055,"147",ANICE,,,,,,,./0.png
-12.9445026038568,15.1420075641433,"148",AOURE,,,,,,,./0.png
-12.2498737519863,14.6933632877452,"149",AOUROU,,,,,,,./0.png
-12.7417080720943,15.0044896634494,"150",APPE DIALLOUBE,,,,,,,./0.png
-12.7468900211298,15.019150827709,"151",APPE DIAOUBE,,,,,,,./0.png
-12.7471865587583,15.0236713270366,"152",APPE RANGHABE,,,,,,,./0.png
-12.7416352154081,15.0070006989095,"153",APPE SAKOBE,,,,,,,./0.png
-14.0346245535207,12.71817958512,"154",ARABE,,,,,,,./0.png
-15.9500179895976,15.0569964467299,"155",ARAFAT,,,,,,,./0.png
-15.0533136785159,13.5256211309078,"156",ARAFAT EL HADJI,,,,,,,./0.png
-14.6747152412168,14.0323659521855,"157",ARAFAT MBAYENE,,,,,,,./0.png
-15.0736092207409,14.9875655169392,"158",ARAKE,,,,,,,./0.png
-15.5972328617898,14.5959269946287,"159",ARALDE DIABEL,,,,,,,./0.png
-14.1693288483361,16.3368919682303,"160",ARAM,,,,,,,./0.png
-13.4620046967184,13.4827476905946,"161",ARDOULAYE,,,,,,,./0.png
-12.4566135262686,14.3951160992255,"162",ARIGABO,,,,,,,./0.png
-14.3684905285624,13.4764473433782,"163",ARIMALE,,,,,,,./0.png
-12.2492364982283,14.7641058134559,"164",AROUNDOU,,,,,,,./0.png
-12.2574534518563,14.3201219147207,"165",ARRI HARA,,,,,,,./0.png
-14.648886808178,13.035429019843,"166",ARTOULAYE DANFACOUNDA WA,,,,,,,./0.png
-16.1081746813413,13.897784808296,"167",ARWAL,,,,,,,./0.png
-13.7096084271033,16.0145339515935,"168",ASNDE BALLA,,,,,,,./0.png
-15.4319445756982,15.4819630329561,"169",ASRE GAOUDY,,,,,,,./0.png
-14.8400431976902,15.6802554014704,"170",ASRE GAWDI,,,,,,,./0.png
-14.6861993593008,15.898886357506,"171",ASRE KODIOLY,,,,,,,./0.png
-16.228307327095,16.1539384594448,"172",ASSITOYE,,,,,,,./0.png
-12.5015134479451,12.6037986505921,"173",ASSONI,,,,,,,./0.png
-15.9665793472672,14.3069301744995,"174",ATHIOU SAMBA FAYE,,,,,,,./0.png
-15.9611216194328,14.3098362648036,"175",ATHIOU THIAMBENE,,,,,,,./0.png
-15.7561551460345,12.5433398208651,"176",ATHIOUFA,,,,,,,./0.png
-12.4175113976769,12.6374488730064,"177",ATTACK BABEL,,,,,,,./0.png
-14.8352847963242,16.5184318936565,"178",ATYA,,,,,,,./0.png
-14.203137439067,12.975072221806,"179",AWATABA,,,,,,,./0.png
-14.3164135570114,16.2495276995932,"180",AWGALY (THIEVEL),,,,,,,./0.png
-14.3204996671437,16.2477329063082,"181",AWGALY CROISEMENT,,,,,,,./0.png
-12.7387613222689,12.4434245722455,"182",AYKOUM,,,,,,,./0.png
-12.522185487321,14.2542907652854,"183",AYNOUMADI,,,,,,,./0.png
-16.2130046766044,14.4842032861153,"184",Baak Lalo Mbin Kori Dion,,,,,,,./0.png
-16.4916060379156,14.9443550769093,"185",BABA GARAGE,,,,,,,./0.png
-16.149352453812,15.0142662662386,"186",BABA LO,,,,,,,./0.png
-16.8991991400478,14.6998069706718,"187",BABACK OUOLOF,,,,,,,./0.png
-16.9028066483048,14.7014763691021,"188",BABACK SERERE,,,,,,,./0.png
-15.500925420046,12.8551205337021,"189",BABADY,,,,,,,./0.png
-16.5364878818804,14.6712385096262,"190",BABAK DIOMGOR,,,,,,,./0.png
-16.5270451804973,14.671219419524,"191",BABAK NDIOUDIOUF,,,,,,,./0.png
-12.7349117848181,14.9683902244672,"192",BABANGOL,,,,,,,./0.png
-16.0602595732249,12.6966689489266,"193",BABATTE,,,,,,,./0.png
-12.4864441356176,12.6509828977974,"194",BABEL,,,,,,,./0.png
-15.298029459886,12.8980023460524,"195",BABINAR,,,,,,,./0.png
-13.2959676048826,14.6410400212777,"196",BABINGUEL DIAMEL,,,,,,,./0.png
-15.7169291192835,12.8793316275263,"197",BABIRA,,,,,,,./0.png
-16.2256983651668,14.3333525130097,"198",BABOL,,,,,,,./0.png
-11.4374905269067,12.6596865563525,"199",Baboti,,,,,,,./0.png
-16.7187068773797,14.1069777982161,"200",BABOUCAR TOUMBOU,,,,,,,./0.png
-16.2984585332551,14.5375683945942,"201",BACCO DIOR,,,,,,,./0.png
-16.2722362316253,14.5737080057456,"202",BACCO MBOYTOLE,,,,,,,./0.png
-16.2754260479283,14.5602668210175,"203",BACCO SERERE,,,,,,,./0.png
-16.6446966558915,14.5661962021503,"204",BACK,,,,,,,./0.png
